校名簡稱,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,電話,學校網址,全校班級數,全校學生數,原住民籍學生總數,原住民籍學生總數占該校學生總數比率,主要/次要民族（30%以上）                     ,主要民族學生總數,主要民族占該校原住民籍學生總數比率,次要民族學生總數,次要民族占該校原住民籍學生總數比率,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
市立大同國小,新北市樹林區大同國民小學,國小,新北市,公立,否,是,[238]新北市樹林區大同里大同街43號,(02)86865486,http://www.ttps.ntpc.edu.tw,56,1398,102,0.07,阿美族,83,0.81,0,0,83,3,2,3,6,0,0,0,0,0,2,3,0,0,0,0,0
市立三峽國小,新北市三峽區三峽國民小學,國小,新北市,公立,否,是,[237]新北市三峽區中山路16號,(02)26711018,http://www.shps.ntpc.edu.tw,52,1317,102,0.08,阿美族,74,0.73,0,0,74,6,7,7,1,0,0,2,0,0,0,5,0,0,0,0,0
市立樟樹國小,新北市汐止區樟樹國民小學,國小,新北市,公立,否,是,[221]新北市汐止區樟樹一路141巷2號,(02)26421407,http://www.tctes.ntpc.edu.tw,25,586,108,0.18,阿美族,98,0.91,0,0,98,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0
市立僑愛國小,桃園市大溪區僑愛國民小學,國小,桃園市,公立,否,是,[335]桃園市大溪區仁義里介壽路214號,(03)3801896,http://www.caes.tyc.edu.tw,35,828,168,0.2,阿美族/泰雅族,90,0.54,55,0.33,90,55,11,9,0,1,1,1,0,0,0,0,0,0,0,0,0
縣立豐里國小,臺東縣臺東市豐里國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路三段80號,(089)324040,http://www.flps.ttct.edu.tw,8,130,66,0.51,阿美族,54,0.82,0,0,54,1,2,1,6,1,0,0,1,0,0,0,0,0,0,0,0
縣立豐榮國小,臺東縣臺東市豐榮國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路二段154巷150號,(089)323353,http://www.frps.ttct.edu.tw,17,405,168,0.41,阿美族,107,0.64,0,0,107,1,36,7,12,0,0,0,2,0,0,0,0,3,0,0,0
縣立康樂國小,臺東縣臺東市康樂國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市山西路一段256號,(089)226131,http://www.klps.ttct.edu.tw,12,249,95,0.38,阿美族,63,0.66,0,0,63,0,15,6,8,0,0,0,3,0,0,0,0,0,0,0,0
縣立豐年國小,臺東縣臺東市豐年國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路三段320號,(089)226733,http://www.fnps.ttct.edu.tw,6,62,48,0.77,阿美族,25,0.52,0,0,25,0,12,5,3,2,0,0,1,0,0,0,0,0,0,0,0
卑南國小,臺東縣臺東市卑南國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市卑南里更生北路317號,(089)223096,http://www.bnps.ttct.edu.tw,13,258,104,0.4,阿美族,61,0.59,0,0,61,0,3,20,14,0,0,0,4,0,0,2,0,0,0,0,0
縣立岩灣國小,臺東縣臺東市岩灣國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市岩灣路50巷401弄11號,(089)223415,http://www.yups.ttct.edu.tw,6,56,21,0.38,阿美族,17,0.81,0,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立豐田國小,臺東縣臺東市豐田國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路四段750號,(089)380345,http://www.ftps.ttct.edu.tw,14,246,115,0.47,阿美族,48,0.42,0,0,48,0,26,2,31,5,0,2,0,0,0,1,0,0,0,0,0
縣立富岡國小,臺東縣臺中市富岡國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市松江路一段441號,(089)281352,http://www.fgps.ttct.edu.tw,6,63,36,0.57,阿美族,32,0.89,0,0,32,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
初鹿國小,臺東縣卑南鄉初鹿國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉初鹿村梅園路97號,(089)571027,http://www.clps.ttct.edu.tw,6,99,52,0.53,阿美族/卑南族,31,0.6,20,0.38,31,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
縣立富山國小,臺東縣卑南鄉富山國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉富山村漁場三鄰66號,(089)281086,http://www.fses.ttct.edu.tw,11,67,29,0.43,阿美族,24,0.83,0,0,24,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
縣立鹿野國小,臺東縣鹿野鄉鹿野國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉鹿野村中華路一段402號,(089)551371,http://www.lyes.ttct.edu.tw,6,51,25,0.49,阿美族,17,0.68,0,0,17,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
縣立永安國小,臺東縣鹿野鄉永安國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉永安村鹿寮路31號,(089)551172,http://www.yaps.ttct.edu.tw,6,51,24,0.47,阿美族,21,0.88,0,0,21,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
縣立瑞豐國小,臺東縣鹿野鄉瑞豐國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞豐村中山路67號,(089)581118,http://www.rfps.ttct.edu.tw,6,40,14,0.35,阿美族,10,0.71,0,0,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立瑞源國小,臺東縣鹿野鄉瑞源國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞源村文化路67號,(089)581064,http://www.ryes.ttct.edu.tw,6,90,44,0.49,阿美族,41,0.93,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立關山國小,臺東縣關山鎮關山國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮中華路101號,(089)811012,http://www.ksps.ttct.edu.tw,15,321,135,0.42,阿美族/布農族,76,0.56,48,0.36,76,6,0,48,0,0,0,2,0,0,0,3,0,0,0,0,0
縣立月眉國小,臺東縣關山鎮月眉國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮月眉里盛豐路二鄰1號,(089)811074,http://www.ymps.ttct.edu.tw,6,19,7,0.37,阿美族,6,0.86,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立德高國小,臺東縣關山鎮德高國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮德高里7鄰永豐16號,(089)931149,http://www.dgps.ttct.edu.tw,6,29,26,0.9,阿美族,26,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電光國小,臺東縣關山鎮電光國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮電光里中興路93號,(089)951142,http://www.tkes.ttct.edu.tw,6,17,16,0.94,阿美族,16,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立大坡國小,臺東縣池上鄉大坡國民小學,國小,臺東縣,公立,是,是,[958]臺東縣池上鄉慶豐村八鄰87號,(089)862664,http://www.dpps.ttct.edu.tw,6,30,15,0.5,阿美族,14,0.93,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立萬安國小,臺東縣池上鄉萬安國民小學,國小,臺東縣,公立,是,是,[958]臺東縣池上鄉萬安村一鄰5之2號,(089)862371,http://www.waes.ttct.edu.tw,10,55,21,0.38,阿美族,13,0.62,0,0,13,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立東河國小,臺東縣東河鄉東河國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉東河村十六鄰35號,(089)896160,http://www.thps.ttct.edu.tw,6,40,27,0.68,阿美族,24,0.89,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
縣立都蘭國小,臺東縣東河鄉都蘭國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉都蘭村431號,(089)531224,http://www.thes.ttct.edu.tw,6,70,35,0.5,阿美族,29,0.83,0,0,29,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立泰源國小,臺東縣東河鄉泰源國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉泰源村11鄰297號,(089)891011,http://www.tyes.ttct.edu.tw,6,75,48,0.64,阿美族,47,0.98,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立北源國小,臺東縣東河鄉北源國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉北源村順那21號,(089)891103,http://www.pyes.ttct.edu.tw,6,18,12,0.67,阿美族,12,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立三民國小,臺東縣成功鎮三民國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮三民路18號,(089)851024,http://www.smps.ttct.edu.tw,12,93,70,0.75,阿美族,64,0.91,0,0,64,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
縣立信義國小,臺東縣成功鎮信義國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮信義里都歷路58號,(089)841029,http://www.syips.ttct.edu.tw,6,60,51,0.85,阿美族,50,0.98,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立三仙國小,臺東縣成功鎮三仙國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮三仙里基翬路八鄰16號,(089)851960,http://www.sasps.ttct.edu.tw,6,48,43,0.9,阿美族,43,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立忠孝國小,臺東縣成功鎮忠孝國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮忠孝里成廣路8號,(089)871109,http://www.jsps.ttct.edu.tw,11,43,33,0.77,阿美族,32,0.97,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
縣立長濱國小,臺東縣長濱鄉長濱國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉長濱村五鄰11號,(089)831038,http://www.cbps.ttct.edu.tw,6,92,51,0.55,阿美族,49,0.96,0,0,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
縣立寧埔國小,臺東縣長濱鄉寧埔國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉寧埔村十鄰41號,(089)801082,http://nbps.boe.ttct.edu.tw,6,45,41,0.91,阿美族,36,0.88,0,0,36,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
縣立竹湖國小,臺東縣長濱鄉竹湖國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉竹湖村十鄰14號,(089)831295,http://www.jhes.ttct.edu.tw,6,30,18,0.6,阿美族,18,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立三間國小,臺東縣長濱鄉三間國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉三間村七鄰16號,(089)831306,http://www.sjps.ttct.edu.tw,6,37,20,0.54,阿美族,19,0.95,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立樟原國小,臺東縣長濱鄉樟原國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉樟原村一鄰7號,(089)881019,http://www.jyps.ttct.edu.tw,5,21,21,1,阿美族,16,0.76,0,0,16,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
縣立興隆國小,臺東縣東河鄉興隆國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉興昌村155號,(089)531283,http://www.slops.ttct.edu.tw,6,50,21,0.42,阿美族,19,0.9,0,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
縣立明恥國小,花蓮縣花蓮市明恥國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市中興路41號,(03)8222231,http://www.mcps.hlc.edu.tw,14,239,111,0.46,阿美族,57,0.51,0,0,57,9,0,10,2,0,0,0,0,0,1,29,0,3,0,0,0
縣立信義國小,花蓮縣花蓮市信義國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市主計里信義街1號,(03)8331163,http://www.syips.hlc.edu.tw,6,75,31,0.41,阿美族,18,0.58,0,0,18,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0
縣立復興國小,花蓮縣花蓮市復興國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市府前路682號,(03)8223208,http://www.fshps.hlc.edu.tw,6,120,66,0.55,阿美族,41,0.62,0,0,41,4,0,2,2,0,0,0,0,0,0,16,0,1,0,0,0
縣立中華國小,花蓮縣花蓮市中華國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市國盛二街22號,(03)8324308,http://www.chps.hlc.edu.tw,14,287,112,0.39,阿美族,66,0.59,0,0,66,8,1,6,0,0,0,0,0,0,2,29,0,0,0,0,0
縣立國福國小,花蓮縣花蓮市國福國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市福光街277巷1號,(03)8561395,http://www.gfups.hlc.edu.tw,6,28,17,0.61,阿美族,13,0.76,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
縣立北埔國小,花蓮縣新城鄉北埔國民小學,國小,花蓮縣,公立,是,是,[971]花蓮縣新城鄉北埔路170號,(03)8264624,http://www.bpps.hlc.edu.tw,18,408,261,0.64,阿美族/太魯閣族,134,0.51,91,0.35,134,11,1,16,1,1,0,1,0,0,0,91,5,0,0,0,0
縣立嘉里國小,花蓮縣新城鄉嘉里國民小學,國小,花蓮縣,公立,是,是,[971]花蓮縣新城鄉嘉里村嘉里三街28號,(03)8266945,http://www.zlips.hlc.edu.tw,6,73,44,0.6,阿美族,24,0.55,0,0,24,3,0,4,1,0,0,0,0,0,1,11,0,0,0,0,0
縣立吉安國小,花蓮縣吉安鄉吉安國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉吉安路二段97號,(03)8523984,http://www.gaps.hlc.edu.tw,12,222,94,0.42,阿美族/太魯閣族,40,0.43,33,0.35,40,3,2,13,1,0,0,0,0,0,2,33,0,0,0,0,0
縣立宜昌國小,花蓮縣吉安鄉宜昌國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉宜昌一街45號,(03)8520209,http://www.ycps.hlc.edu.tw,31,820,304,0.37,阿美族,228,0.75,0,0,228,8,6,16,5,0,0,0,0,0,2,36,0,1,2,0,0
縣立光華國小,花蓮縣吉安鄉光華國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉光華村光華二街180號,(03)8421611,http://www.khps.hlc.edu.tw,6,73,42,0.58,阿美族,26,0.62,0,0,26,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
縣立南華國小,花蓮縣吉安鄉南華國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉干城村吉安路6段60號,(03)8525043,http://www.nhps.hlc.edu.tw,6,81,41,0.51,阿美族/太魯閣族,24,0.59,14,0.34,24,1,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0
縣立化仁國小,花蓮縣吉安鄉化仁國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉東里十一街83號,(03)8528720,http://www.hzps.hlc.edu.tw,12,222,143,0.64,阿美族,117,0.82,0,0,117,4,1,6,0,0,0,1,0,0,1,13,0,0,0,0,0
縣立壽豐國小,花蓮縣吉安鄉太昌國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉壽豐村壽山路37號,(03)8651024,http://www.sfops.hlc.edu.tw,6,133,68,0.51,阿美族,59,0.87,0,0,59,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
縣立豐裡國小,花蓮縣壽豐鄉壽豐國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉豐裡村中山路299號,(03)8652183,http://www.flps.hlc.edu.tw,6,78,32,0.41,阿美族,32,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立平和國小,花蓮縣壽豐鄉豐裡國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉平和路34號,(03)8661223,http://www.phps.hlc.edu.tw,6,39,13,0.33,阿美族,10,0.77,0,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
縣立溪口國小,花蓮縣壽豐鄉溪口國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉溪口村溪口路87號,(03)8652275,http://www.skps.hlc.edu.tw,6,27,18,0.67,阿美族,15,0.83,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立月眉國小,花蓮縣壽豐鄉月眉國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉月眉村月眉三段24號,(03)8631011,http://www.ymps.hlc.edu.tw,6,29,24,0.83,阿美族,22,0.92,0,0,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
縣立水璉國小,花蓮縣壽豐鄉水璉國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉水璉村水璉二街20號,(03)8601228,http://www.sulps.hlc.edu.tw,6,30,21,0.7,阿美族,20,0.95,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
縣立大榮國小,花蓮縣鳳林鎮大榮國民小學,國小,花蓮縣,公立,是,是,[975]花蓮縣鳳林鎮大榮里復興路85號,(03)8763904,http://www.dlps.hlc.edu.tw,6,38,22,0.58,阿美族/布農族,12,0.55,7,0.32,12,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0
光復國小,花蓮縣光復鄉光復國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大馬村中山路三段75號,(03)8701029,http://www.kfps.hlc.edu.tw,8,144,103,0.72,阿美族,90,0.87,0,0,90,2,1,0,1,0,1,0,0,0,3,5,0,0,0,0,0
太巴塱國小,花蓮縣光復鄉太巴塱國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉中正路二段23號,(03)8701134,http://www.tplps.hlc.edu.tw,6,100,90,0.9,阿美族,89,0.99,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立瑞穗國小,花蓮縣瑞穗鄉瑞穗國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉溫泉路一段19號,(03)8876366,http://www.zshps.hlc.edu.tw,13,237,107,0.45,阿美族,64,0.6,0,0,64,4,1,11,0,1,1,0,0,0,0,22,3,0,0,0,0
縣立瑞美國小,花蓮縣瑞穗鄉瑞美國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉中山路二段389號,(03)8872014,http://www.zmeps.hlc.edu.tw,6,45,22,0.49,阿美族,21,0.95,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立鶴岡國小,花蓮縣瑞穗鄉鶴岡國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉鶴岡村167號,(03)8872740,http://www.hgps.hlc.edu.tw,6,16,14,0.88,阿美族,14,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立舞鶴國小,花蓮縣瑞穗鄉舞鶴國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉舞鶴村64號,(03)8872394,http://www.whps.hlc.edu.tw,6,29,23,0.79,阿美族,16,0.7,0,0,16,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
縣立富源國小,花蓮縣瑞穗鄉富源國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉富源村30號,(03)8811029,http://www.fyps.hlc.edu.tw,6,78,59,0.76,阿美族,51,0.86,0,0,51,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
縣立豐濱國小,花蓮縣豐濱鄉豐濱國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉豐濱村民族街5號,(03)8791111,http://www.fbps.hlc.edu.tw,6,48,37,0.77,阿美族,33,0.89,0,0,33,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
港口國小,花蓮縣豐濱鄉港口國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉港口村43號,(03)8781037,http://www.gkps.hlc.edu.tw,5,14,14,1,阿美族,14,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立靜浦國小,花蓮縣豐濱鄉靜浦國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉靜浦村64號,(03)8781021,http://www.zpps.hlc.edu.tw,6,14,13,0.93,阿美族,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立觀音國小,花蓮縣玉里鎮觀音國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮觀音里16鄰9號,(03)8851006,http://www.gips.hlc.edu.tw/,6,16,12,0.75,阿美族/布農族,8,0.67,4,0.33,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立高寮國小,花蓮縣玉里鎮高寮國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮高寮92號,(03)8851078,http://www.glps.hlc.edu.tw,6,46,30,0.65,阿美族,27,0.9,0,0,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
縣立松浦國小,花蓮縣玉里鎮松浦國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮松浦里12鄰212號,(03)8851131,http://www.spups.hlc.edu.tw,6,54,45,0.83,阿美族,44,0.98,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立春日國小,花蓮縣玉里鎮春日國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮春日里泰林95號,(03)8872628,http://www.czips.hlc.edu.tw,6,39,31,0.79,阿美族,29,0.94,0,0,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
德武國小,花蓮縣玉里鎮德武國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮德武里9鄰171號,(03)8872824,http://www.dwes.hlc.edu.tw,6,27,27,1,阿美族,27,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立明里國小,花蓮縣富里鄉明里國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉明里村1鄰16號,(03)8846003,http://www.mrps.hlc.edu.tw,6,33,18,0.55,阿美族/布農族,11,0.61,6,0.33,11,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
縣立吳江國小,花蓮縣富里鄉吳江國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉吳江村6鄰52號,(03)8861242,http://www.wcps.hlc.edu.tw/,6,24,13,0.54,阿美族/布農族,9,0.69,4,0.31,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立學田國小,花蓮縣富里鄉學田國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉學田村光明路1號,(03)8831324,http://www.stps.hlc.edu.tw,6,34,15,0.44,阿美族,12,0.8,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立永豐國小,花蓮縣富里鄉永豐國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉豐南村永豐84號,(03)8831195,http://www.yfps.hlc.edu.tw,6,27,21,0.78,阿美族,21,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
